key,Полная мощность,Время нагрева,Вес добавки
1,0.30513,0.211253,346.38490491826
1,0.765658,0.477438,382.505505189066
1,0.580313,0.43046,407.239421650695
1,0.518496,0.379979,393.062226197537
1,0.867133,0.643691,403.623758432979
2,0.381124,0.220351,386.468753407564
2,0.261665,0.205527,430.638118035597
2,0.710297,0.484962,406.129753986272
2,0.786322,0.542517,409.527604591596
3,1.101678,0.820856,420.872686976247
3,0.542675,0.474673,385.415826843848
3,0.774632,0.50569,395.977620559017
3,1.222963,0.863676,364.64225617575
3,0.421693,0.272562,405.228904031639
4,0.642946,0.516071,402.914625414007
4,0.310693,0.241781,465.927578846924
4,0.887855,0.644479,398.394477673457
4,0.864995,0.654661,445.402152439521
5,0.324563,0.279102,403.009673294684
5,0.57381,0.439417,429.570757790963
5,0.46162,0.308665,420.749634616834
5,0.892957,0.660807,431.964290913776
6,0.390797,0.290488,425.072626643407
6,0.84719,0.562753,397.675146945141
6,0.957252,0.62558,414.345028633499
6,0.530035,0.402492,424.132136362197
7,0.57539,0.373449,417.543631687033
7,0.854873,0.639473,407.149498772662
7,0.588825,0.395404,398.321054166182
7,0.607789,0.552093,428.315184439009
8,0.40198,0.292894,423.047335419789
8,1.244066,1.074537,404.721947137397
8,0.558801,0.382646,387.255284425657
8,0.474111,0.346875,378.808600220247
9,1.100202,0.772495,402.60372601889
9,0.80675,0.610372,412.229605348068
9,0.492036,0.31723,415.64942025044
9,0.467218,0.342799,396.203382155101
9,0.654614,0.484469,433.498863134184
10,0.423798,0.296542,412.84034354586
10,0.627009,0.432609,406.821577047333
10,0.467115,0.313622,383.003048813145
10,0.522005,0.361521,421.36568085308
10,0.502584,0.34044,427.191710645013
10,0.576267,0.410207,407.415423654777
11,0.59495,0.513569,413.800889322112
11,0.359611,0.301657,384.434336541482
11,0.796918,0.609124,415.087448021688
11,0.496545,0.339225,427.336465821747
11,0.755356,0.60535,407.664666130324
12,0.40525,0.306783,434.610674932366
12,0.76947,0.612505,434.211866053112
12,0.510781,0.332135,420.166011866706
12,0.551192,0.395074,429.551931250637
13,0.590984,0.432071,415.906245638063
13,1.123269,0.858183,421.587860176907
13,0.319848,0.266752,395.560089731327
13,0.354767,0.251177,439.119840524392
13,0.305344,0.269377,363.103709463495
13,0.73748,0.504562,377.932433951821
14,0.509109,0.388666,412.393265509046
14,0.666099,0.503419,421.678149126557
14,1.019963,0.741209,435.958864403539
14,0.485121,0.451034,446.376216717646
14,0.618853,0.434014,398.697192753127
14,1.011364,0.894062,387.380428622884
15,0.357609,0.236726,431.790459191426
15,0.418855,0.276859,469.929264585254
15,0.748699,0.519172,408.697615642915
15,0.39346,0.300262,358.100033412221
15,0.853441,0.571927,444.327784538211
16,0.517101,0.348967,356.493920338572
16,0.578838,0.428788,394.268589064915
16,0.459944,0.358614,402.281478403631
17,1.195434,0.9768,442.406379210035
17,0.953224,0.649247,356.717746984679
17,0.853521,0.571626,418.824385536675
17,1.220986,1.074333,406.512508010303
17,0.406621,0.285777,419.962083827806
18,0.362735,0.316976,424.31449232364
18,0.515849,0.421186,451.989140532271
18,0.848125,0.555223,422.12208940665
18,0.9437,0.588743,427.277162219718
18,0.873248,0.713031,480.424851633608
19,0.796037,0.54331,416.321030928622
19,0.381018,0.271883,434.200674720807
19,1.200436,0.836174,405.692429143266
20,0.51709,0.42987,419.924718374852
20,0.40246,0.287402,417.326498921931
20,0.547288,0.422592,375.328409648966
20,0.766118,0.493367,381.902846714831
20,0.836358,0.61266,453.28785803914
21,0.44501,0.327709,437.372214622621
21,0.486658,0.333009,399.254850566387
21,0.639156,0.425871,426.982265383878
21,0.553851,0.460131,434.808353605797
21,0.493884,0.453807,367.742150632431
21,0.582278,0.435134,426.414697488974
22,0.416693,0.282269,423.675488167384
22,0.805373,0.706759,420.147289918269
22,0.550549,0.344273,421.712742894408
22,0.29687,0.241019,407.243003922951
22,0.578899,0.423595,366.27681824367
22,0.46939,0.415422,406.454564102853
23,0.917064,0.641088,418.662764917564
23,0.59356,0.447818,442.092969609541
23,0.672961,0.510488,439.045894057665
23,1.031975,0.65727,384.834295931534
23,0.78939,0.647184,406.033372558988
24,0.536975,0.391653,385.75266502786
24,0.36707,0.236627,458.647983253933
24,0.783893,0.53959,381.466698530595
24,0.523169,0.393188,428.599308310106
24,0.456281,0.310365,402.691635503026
24,0.58418,0.397972,393.549415224436
25,1.050481,0.695222,411.263542349581
25,0.37902,0.274015,404.462506952506
25,0.433161,0.292997,394.071381054993
25,0.671973,0.464281,405.335404724348
25,0.734893,0.594302,452.702038859308
25,0.647655,0.497607,416.744392754219
26,0.379162,0.279738,369.266682031331
26,0.370609,0.26181,381.265882100444
26,0.738229,0.552377,408.384415226203
27,0.819494,0.614552,405.672321352278
27,0.560899,0.357083,358.659390843706
27,1.028829,0.776168,422.816841040651
27,0.489026,0.350214,474.69990990404
28,0.452306,0.314882,410.934260929673
28,0.729953,0.497477,430.014567331193
28,0.781541,0.517268,405.750869862197
28,0.514685,0.367232,441.4464871331
29,0.361212,0.325658,405.639427202652
29,0.584825,0.379651,453.901603253791
29,0.820875,0.691801,416.787536909134
29,0.855655,0.615837,426.12249389432
30,0.271634,0.197536,433.077619294374
30,0.782927,0.5462,437.401343464182
30,0.54218,0.367158,380.826386975707
30,0.613326,0.544351,421.822485935729
31,0.706558,0.537496,375.259274409211
31,0.71564,0.550317,400.849876899621
31,0.363854,0.270391,425.244628007669
31,1.131533,0.773594,437.783626824705
32,0.463147,0.374491,413.067490984497
32,0.502953,0.352604,419.346534403041
32,0.321175,0.221176,437.423987608519
32,0.45036,0.307032,360.058830341324
33,0.302394,0.260613,408.873486907134
33,0.478676,0.315478,422.544431461312
33,0.460613,0.314188,396.254579885601
33,0.549723,0.37249,443.926413157635
33,0.980108,0.82013,423.163981525897
33,0.887283,0.619086,384.499183513719
33,0.471479,0.351416,428.448983615192
34,0.846831,0.583265,401.804199458376
34,0.439837,0.294242,419.489250037906
34,0.304665,0.277515,423.637469015113
35,0.358962,0.292957,411.335710754167
35,0.454238,0.342769,431.793021692749
35,0.717018,0.503796,396.345627126459
36,0.467047,0.337613,425.396495432971
36,0.828752,0.53968,430.261901004735
36,0.855535,0.562861,426.875843135087
36,0.566237,0.432768,399.3593378652
36,0.616815,0.417611,420.660783805681
37,0.515433,0.354348,414.562658210081
37,0.578006,0.404017,412.592120841247
37,0.465258,0.367007,415.924078555428
37,1.282407,0.843068,429.36884314596
37,0.305493,0.229947,414.258374252051
38,1.336674,1.213404,426.496148423859
38,1.270273,1.023128,404.97309841495
38,0.648183,0.546889,380.568777148903
38,0.633236,0.463029,445.012966014211
39,0.755446,0.491989,423.029580946342
39,0.858274,0.54651,378.678487908212
39,0.423006,0.33759,392.558825427579
39,0.394423,0.365433,435.285083443624
40,0.684074,0.533949,430.204061689175
40,1.00168,0.679165,424.971433989151
40,0.664973,0.523297,409.304510088725
40,1.079755,0.692049,390.202422425966
40,0.739787,0.485185,398.436366725684
43,0.575046,0.394915,439.472053716338
43,1.038545,0.764777,384.39464391896
43,0.359061,0.278094,404.432802855546
43,1.096611,0.80203,457.189972297521
43,0.838585,0.70674,418.671916708001
43,1.014174,0.717038,424.659070307564
44,1.018485,0.710434,411.279388021023
44,0.42061,0.321159,389.605098138156
44,0.565153,0.375698,407.961602508032
44,0.527123,0.384886,410.618864083255
44,0.491238,0.395174,397.148003815993
44,0.32529,0.274241,419.348364761128
44,0.655168,0.511378,413.753247715897
44,0.358249,0.283933,451.042479329509
44,0.35432,0.230237,403.537208643422
44,1.078357,0.694498,428.97594370853
44,0.916247,0.653412,380.43390590584
44,0.588756,0.386179,423.416047982493
45,0.734426,0.657788,427.102127690625
45,0.604079,0.431668,443.981846859708
45,0.502398,0.314384,421.693524134491
45,0.513161,0.39612,376.618236845126
45,1.145889,0.782091,390.1665997034
45,0.436346,0.324023,423.318620636303
45,0.339542,0.271451,430.067203200189
45,0.523118,0.342222,396.167716320371
45,0.468776,0.286236,429.94770696506
45,1.004546,0.758372,413.217240424012
46,0.766231,0.543848,417.268711902318
46,1.132821,0.98041,399.410483299754
46,0.335039,0.330488,436.622656837892
46,0.641491,0.446418,401.098570267743
46,0.822516,0.527241,421.039720225701
46,0.255721,0.185635,402.235301083885
46,0.76858,0.545573,422.472184612809
46,1.187198,0.915032,393.841618819089
46,0.873421,0.663655,440.459558052418
46,0.431439,0.297933,445.20133600937
46,0.250934,0.169249,412.014956640371
46,0.875135,0.740257,410.661171503045
46,0.839733,0.706206,419.743878995825
47,0.557313,0.434119,411.046984839879
47,0.429092,0.309128,423.815798188763
47,0.912018,0.659924,412.879068693393
48,0.847745,0.677409,429.319763401247
48,0.633587,0.482618,439.634328034765
48,0.637615,0.434111,453.966554817918
48,0.805947,0.664547,370.10760083259
48,0.623596,0.466692,382.577412113926
49,0.994742,0.706443,389.84414290436
50,0.369581,0.290227,424.926041108585
50,0.469825,0.299563,399.904261615768
50,1.096981,0.797256,423.801730579463
50,0.424846,0.350962,403.837727293387
51,0.856847,0.633824,413.758529606377
51,0.318843,0.232106,413.883856839413
51,0.67587,0.488079,412.150429286805
51,0.489835,0.347078,408.921442289022
52,0.961215,0.842504,432.581801436492
52,0.451738,0.319224,408.01698391416
52,0.799848,0.553466,468.422722991555
52,0.42986,0.306657,408.348801687418
52,0.537997,0.405021,412.143395482155
52,0.970915,0.742704,432.453467186599
53,0.476747,0.378769,455.915415517404
53,1.199957,0.870847,416.893697678199
53,0.658706,0.518712,446.984941521543
53,0.803505,0.559653,405.311557773267
54,0.460394,0.401572,412.138113591674
54,0.452085,0.374882,424.893094663013
54,1.03486,0.779633,435.741993118165
54,0.562327,0.369471,420.284200703201
55,0.415164,0.32218,451.259716686502
55,0.803597,0.524978,422.359120778958
55,0.838982,0.567044,410.97654220149
55,0.87208,0.609396,438.328445983381
56,0.265964,0.181289,391.726169385685
56,0.560556,0.41257,446.109716580133
56,0.277583,0.214201,433.069618014735
56,0.488696,0.325811,401.831367201987
56,0.452266,0.328962,435.124064227886
56,0.710102,0.515182,397.49524889313
57,0.837385,0.588424,450.968428270891
57,0.513882,0.353143,410.190298811096
57,1.094412,0.980201,428.941297644735
57,0.601224,0.408409,418.012124913468
57,0.416559,0.33447,416.310284111853
58,0.482053,0.337112,404.151764445225
58,1.240299,0.983799,416.837897904508
58,0.946496,0.781758,461.396658141631
58,0.596991,0.425364,416.383707619127
59,0.295137,0.201624,394.929191446601
59,0.621736,0.468265,402.296879559537
59,0.441236,0.392726,419.76063984631
59,0.553303,0.439038,431.607632566476
59,0.705888,0.484497,371.448678055196
59,0.360432,0.246631,401.202796086829
60,0.404733,0.336551,389.835775553103
60,0.564256,0.398585,443.10322268185
60,0.676491,0.517684,401.576581356232
60,0.469814,0.36082,462.710750656435
61,0.541949,0.388269,447.531852518034
61,1.128812,0.756453,403.512734140997
61,1.030975,0.753273,375.657141961448
62,1.237724,0.86772,354.988215479999
62,1.158881,0.842859,410.765135842405
62,0.397735,0.313189,412.113482201414
62,1.107475,0.812689,421.733896604303
63,0.932174,0.811947,408.564208686323
63,0.360169,0.223242,380.666884342383
63,0.451927,0.327448,437.514982553431
63,0.964415,0.749642,390.938435560849
64,1.316444,1.05407,371.761198624619
64,0.829865,0.646825,414.085170081045
64,0.66174,0.540811,410.837382690908
64,0.630544,0.533027,412.75933712651
64,0.46656,0.304033,422.374678822699
64,0.479458,0.366604,442.330654681165
64,0.307338,0.223981,404.677521731821
65,1.032254,0.871342,434.926594738237
65,0.942166,0.676011,438.972261366609
65,0.391465,0.286312,414.268990328957
65,0.369899,0.224713,392.654265527846
65,0.600336,0.420549,385.782996676163
65,0.42991,0.333725,414.171746018575
65,0.677809,0.564424,385.170663452038
66,0.695561,0.474816,451.411688703694
66,0.690472,0.544429,429.056897831935
66,1.271746,0.911297,422.368847824793
66,0.700561,0.472834,440.501237920864
66,0.477525,0.346788,437.185518097715
67,0.496127,0.377992,404.466219964626
67,0.549714,0.432859,405.250946772605
67,0.767472,0.650484,456.61032403924
67,0.456488,0.378535,402.741264355165
68,0.42816,0.284013,419.415068239425
68,0.476343,0.34988,439.834516913572
68,1.02486,0.722408,433.905307221459
69,0.715099,0.492469,387.164080296963
69,0.309908,0.194787,403.041939892966
69,0.869881,0.607916,423.739576848413
69,0.846095,0.606771,435.467910068575
69,0.559417,0.463819,414.993367616
69,0.75358,0.552227,418.532600309583
70,1.272942,0.861167,444.532261684536
70,0.602669,0.413677,371.801780278212
70,1.030472,0.754015,431.16092060128
70,1.341706,0.950409,365.199730953201
70,0.64191,0.427219,424.144269021519
71,0.58737,0.382669,440.248909984541
71,0.419283,0.316126,412.291183823719
71,0.579096,0.37018,383.204492794641
71,0.451684,0.39303,427.13706138212
72,0.411758,0.260616,399.534973797665
72,1.039055,0.765862,401.441867001005
73,0.771207,0.549849,434.753756638849
73,1.025665,0.677882,360.104014038108
73,0.69464,0.470218,420.857547300067
73,0.515782,0.365429,421.528399687042
73,0.377558,0.246875,398.873586976799
73,0.5757,0.509065,412.810404117146
74,0.561246,0.382824,377.187530506228
74,0.905615,0.713208,414.878055056499
74,1.011683,0.676781,403.923858715381
74,1.041834,0.730905,395.641775997967
74,0.523125,0.353234,423.175852705491
75,0.477,0.330115,419.878070391598
75,0.888098,0.605022,427.453138075827
75,0.279874,0.268577,392.681799343074
76,0.905463,0.598868,388.966146277846
76,0.478879,0.351522,398.699258442968
76,0.251871,0.220122,440.245144676475
77,0.712703,0.533761,418.934782277312
77,0.724107,0.565139,392.968224235767
77,1.223543,0.836889,433.376647509896
77,0.446551,0.321794,388.188976233971
77,0.63582,0.452262,393.841618819089
77,0.336457,0.255667,402.086832895031
78,0.91252,0.660488,444.000359624362
78,0.890668,0.542372,379.667508826707
78,0.310684,0.206528,420.368737098863
78,0.52828,0.371342,422.376639920651
78,0.408124,0.302073,370.738603709207
79,1.005895,0.737621,432.286800008762
79,0.887344,0.594294,369.578993416973
79,0.590984,0.494907,445.894571060955
79,0.6074,0.456975,379.553608257731
79,0.500974,0.377482,416.441076271178
79,0.691754,0.529681,422.491717148398
80,0.778981,0.559168,409.738095771638
80,1.1226,0.773839,384.066382269986
80,0.493052,0.43281,403.392061247097
81,0.357735,0.249066,432.896204659948
81,0.878862,0.626035,411.566257429251
81,0.441162,0.310855,395.104827379066
81,0.497746,0.372035,420.029362561501
82,0.612283,0.454782,417.16759769198
82,0.27945,0.243712,408.880599155702
82,0.503883,0.346318,414.858548668883
82,0.744514,0.527035,401.601918741755
83,0.758961,0.512633,374.361980578862
83,0.489217,0.361388,405.962380813173
83,0.672422,0.474849,400.657532412617
83,0.608047,0.39151,427.680991509726
84,0.590578,0.395734,404.779263493503
84,0.928891,0.596332,421.115810826187
84,0.387799,0.228016,386.017491695122
84,0.620037,0.447909,433.115167783137
85,0.461446,0.343817,388.092542510742
85,0.397224,0.268282,410.366719182741
85,0.936775,0.625299,403.170875546231
86,0.682444,0.510806,398.451009590382
86,0.948439,0.76043,430.334330889047
86,0.790144,0.674795,438.656393856683
86,0.594448,0.458083,414.396304807917
86,0.45746,0.328138,383.585782532202
87,0.324838,0.242416,382.055446283368
87,0.629869,0.580396,419.524497505074
87,0.467798,0.351896,382.928893162636
87,0.669292,0.550142,374.92782270757
88,0.81405,0.492776,448.784863368666
88,0.630716,0.423989,399.845637861028
88,0.499348,0.348987,357.389645290561
88,0.527046,0.36081,396.939342994039
89,0.50531,0.336465,377.159813655191
89,0.825179,0.560673,410.913133367751
89,0.467487,0.34627,421.959527460524
89,0.2737,0.204475,368.9767533103
89,0.508303,0.425779,457.825263441657
90,0.454229,0.340132,385.163708091306
90,0.481947,0.34257,443.15598929071
90,0.547012,0.418481,427.966344335538
90,0.602585,0.406804,372.161576382234
90,0.543371,0.367289,457.373217290034
91,0.605027,0.547442,384.169143802603
91,0.625689,0.442266,441.141654067644
91,0.289899,0.196954,419.9975927747
91,0.471642,0.339001,391.858164351754
91,0.469415,0.332789,407.120709854746
92,0.552083,0.392285,388.013889408932
92,0.565046,0.425531,409.285003701109
92,1.031611,0.749581,360.259646771475
92,0.440523,0.330216,383.200622894685
93,0.512683,0.305599,424.249566907485
93,0.402671,0.281575,445.630999496381
93,0.580682,0.487001,418.879583906994
94,0.644369,0.421947,381.517582485423
94,0.515198,0.382033,420.702359082235
94,0.475058,0.341605,430.542991711001
94,0.388842,0.304439,378.245477480697
94,0.493327,0.335012,413.716196038615
94,0.877225,0.649799,410.990635958762
95,0.578032,0.419882,426.498292557619
95,0.631048,0.513714,406.612001046335
95,0.584945,0.381319,414.743340701272
95,0.258449,0.210304,428.697624687367
95,0.472995,0.384467,395.212949246081
95,0.483841,0.332514,434.662081846647
96,0.468297,0.349355,384.763487221528
96,0.562782,0.394232,439.411128940003
96,0.801896,0.713379,408.720730450761
96,0.727044,0.457675,380.055126373656
96,0.624296,0.422679,372.90543390892
97,0.387061,0.317161,448.027513488079
97,0.76151,0.501041,398.33363134104
97,0.962657,0.720128,433.736966573371
97,0.698771,0.483572,378.542204674624
97,0.44009,0.313636,430.428777366353
97,0.567139,0.389449,415.59597379429
98,0.494935,0.353698,400.442439189384
98,0.402841,0.284637,386.199847656564
98,0.735009,0.550922,389.035804477054
98,0.524864,0.401271,403.420379501506
98,0.410599,0.277339,359.738360788207
98,0.456941,0.355612,423.525607988005
99,0.831582,0.617423,448.269539123168
99,0.467704,0.291509,403.480702874469
99,0.951585,0.724303,412.898444341146
99,1.20741,0.810785,397.33177176796
100,0.484366,0.36129,416.566612687995
100,0.977779,0.748288,410.066723492229
100,0.304473,0.201667,408.530425505625
100,0.801634,0.680203,469.518846006132
100,0.800764,0.575101,416.433911726665
100,0.711236,0.527786,409.914829918955
